artista,cancion,album,año,genero,spotify_id,popularidad
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018,electronic,4w8niZpiMy6qz1mntFA5uM,70
Maribou State,Vale,Kingdoms In Colour,2018,electronic,58FsmlVRQxpjFmXF8vSKMT,64
Xinobi,Far Away Place - Rampa Remix,Far Away Place (Rampa Remix),2018,electronic,4SpESjSScmJyuMamD9MKOL,61
Rhye,Song For You,Blood,2018,electronic,0BfLvshnvJldGROufmYCrv,53
Rhye,Feel Your Weight - Poolside Remix,Blood Remixed,2018,electronic,1hgX0ZmmP7IRRjUFCIBrnQ,60
Ash,Sing It Back (feat. Naila),Sing It Back (feat. Naila),2018,electronic,2UhRf78iodPFuJa7TGMSFn,65
Guy Gerber,What To Do - &ME Remix,What to Do (Remixes),2018,electronic,3PpvhYXmJdfoxeXGWJmeas,55
Fatboy Slim,Praise You (Purple Disco Machine Remix) (Radio Edit),Praise You (Purple Disco Machine Remix),2018,electronic,6RzRRbZxWWFm7ih6djhUzx,53
Maribou State,Nervous Tics,Kingdoms In Colour,2018,electronic,2oJ8Il24SIiDCJv39RYzPp,60
Thom Yorke,Suspirium,Suspiria (Music for the Luca Guadagnino Film),2018,electronic,4Y1igB1GDncJvt7ezbV3cW,55
El Búho,Cumbia Sobre el Mar - El Búho Remix,Tributaries: A Remix Album (El Búho Remixes),2018,electronic,4TobIFLwvzPSraqUQBEZUI,49
Gaullin,Moonlight,Moonlight,2018,electronic,0A5gdlrpAuQqZ2iFgnqBFW,57
Fatboy Slim,Right Here Right Now (Radio Edit) (CamelPhat Remix),Right Here Right Now (CamelPhat Remix),2018,electronic,5cqAAt8rWLNrqhG5Otk6Jp,50
Rhye,Taste,Blood,2018,electronic,6GbWNeR3P9MTCmSyPVHgb1,51
BICEP,Opal - Four Tet Remix,Opal (Four Tet Remix),2018,electronic,3VtTuQ6lypMoOBcm6VMzdh,52
Jean-Michel Jarre,"Equinoxe, Pt. 5",Planet Jarre (Deluxe-Version),2018,electronic,0w6SpWTvf5i70VxgArASBB,44
Adam Beyer,Your Mind,Your Mind,2018,electronic,5NZdurYcFYOg3s2YyzeVgE,46
Nicolas Godin,Les rues de Paris,Au service de la France,2018,electronic,5Cfz0DCrcFpISyvDHBWy9f,52
Califato ¾,L'ambôccá,L'ambôccá,2018,electronic,7aL9cpCx5k0jfnusobGk3h,26
Maribou State,Glasshouses,Kingdoms In Colour,2018,electronic,7isVqPzG3R5ni6IM4YG0sv,55
Rebūke,Along Came Polly,Along Came Polly,2018,electronic,6fL2wAZuNKGpze9E3SINnW,50
Novalima,Machete,Afro,2018,electronic,68mXF4xBYqzdzqhTsJTuy1,40
LOUTA,AYER TE VI (feat. Zoe Gotusso),ENCHASTRE,2018,electronic,7gfyrnHMieXMjIW4n2p5wf,52
Kerala Dust,The Chain,The Chain,2018,electronic,7IctzNEJucIBzkAWYg6np2,49
islandman,Night Wind,Rest in Space,2018,electronic,7afB9uuN1t1UQArknKHaBh,46
Quantic,Cumbia Sobre El Mar,The Power of the Latin Music,2018,electronic,7KooLjzPsWw4TT12acawEB,43
Maribou State,Beginner's Luck,Kingdoms In Colour,2018,electronic,6adjXENHRzh4uyVziFlVGm,53
DJ Dark,Crazy (feat. Martova),Crazy,2018,electronic,3eZ7giMTVT6oa0u4BvCrCQ,41
Cerrone,Supernature (Instrumental CLIMAX edit),Supernature (instrumental),2018,electronic,7nIsxHK8t1p215mXLpZgbh,46
MEUTE,Hey Hey,Hey Hey,2018,electronic,5Ix1TtnsaCMcDjn3WAKYQE,43
BLOOM,Earth Breath,"El Mundo EP, Pt. 2",2018,electronic,63S0g1NOuVCQuWjtyCOHyf,47
Maribou State,Feel Good,Kingdoms In Colour,2018,electronic,3PURbsY67tLMyausOABtit,52
Jean-Michel Jarre,"Magnetic Fields, Pt. 2",Planet Jarre (Deluxe-Version),2018,electronic,0mUEP5UIlGCS71xRVNa24u,38
Mijangos,Aqui Se Baila - Afro Latin Mix,Aqui Se Baila (Afro Latin Mix),2018,electronic,6jo8xMFaWUqRzqb9WisxAS,36
Thievery Corporation,San San Rock,Treasures From The Temple,2018,electronic,0tutwq4hC8qFaLvLb1rEFQ,46
Paul Kalkbrenner,Part Four,Parts of Life,2018,electronic,3pQK5lgb8S01XeIWwHRSLH,43
Maribou State,Kingdom,Kingdoms In Colour,2018,electronic,46SpOq8ojlVUBrgGnUzUlV,50
RL Grime,UCLA,NOVA,2018,electronic,0r8RKKIc4C8G6J9HAHzpaR,59
Alef,Sol,Sol y Luna,2018,electronic,4FlR74PQh9SUnxDyFkoK1a,45
Pomo,Intoxicated,Intoxicated,2018,electronic,2JRtD3QjOULLeguptl6riM,46
Califato ¾,Clabo y Canela,L'ambôccá,2018,electronic,0GjIAlQr0oaRbxGyJPwjWJ,22
Bomba Estéreo,Soy Yo (feat. Doozie & MOJJO) - Doozie & MOJJO Remix,Soy Yo (feat. Doozie & MOJJO) [Doozie & MOJJO Remix],2018,electronic,4AeFY5aK38DimaWgp4uRJg,29
Rhye,Feel Your Weight,Blood,2018,electronic,6bRVkUr1fyZVX4XwQ4RpaR,43
Ash,Give a Little (feat. Naila),Give a Little (feat. Naila),2018,electronic,5TjdmkuqqjkyIIVuDqyFPE,49
Mark Alow,Trip To The Lonely Planet,Nebula EP,2018,electronic,3AoPhInlcd98u7Z1vmwHdk,45
Rhye,A Whiter Shade Of Pale - Recorded at Spotify Studios NYC,Spotify Singles,2018,electronic,6AcYLHkLDFn6qcZiPS6xNc,41
Moby,This Wild Darkness - Edit,This Wild Darkness - Edit,2018,electronic,5ivnEtHX6OExzDKUWA4AE1,33
Quantic,Hotline Bling,Hotline Bling,2018,electronic,7p6CgRGbeR6WyidudAzbsf,39
Peces Raros,No Van a Parar,Anestesia,2018,electronic,1GLYsZMbHm72Uy2QvzdgDQ,47
