artista,cancion,album,año,spotify_id,popularidad
DJ Snake,Loco Contigo (feat. J. Balvin & Tyga),Carte Blanche,2019,6osaMSJh9NguagEDQcZaKx,71
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018,4w8niZpiMy6qz1mntFA5uM,70
DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",Carte Blanche,2019,0KoiMHhqKLoL4xM54rcWYY,71
Anthony Keyrouz,Wake Me Up In Paris,Wake Me Up In Paris,2020,4dq7XLDmFHNwc1yqL339qT,69
Califato ¾,Crîtto de lâ Nabahâ,Puerta de la Cânne,2019,1GU309xFsWsQUM6lf4sJoN,43
Peces Raros,Cicuta - Remix,Cicuta (Remix),2022,6qqeq1UoryAxgud2JfF76t,60
Bomba Estéreo,Me Duele,Me Duele,2022,2jG2P21A1c45YU0Z1euaNB,55
Rodrigo Cuevas,El Día Que Nací Yo,Manual de Cortejo,2019,5S23UOkrexcAWHmyTeTbaU,40
Califato ¾,Tó ba a çalîh bien mamá (feat. Queralt Lahoz),La Contraçeña,2021,19yw3iQThdt27LK8SZYvpX,38
Maribou State,Vale,Kingdoms In Colour,2018,58FsmlVRQxpjFmXF8vSKMT,64
DJ Snake,U Are My High (with Future),U Are My High (with Future),2021,0ITaSRuI0L1RNL7ZNYTTi7,71
Rodrigo Cuevas,Xiringüelu,Manual de Cortejo,2019,4XcJYF2LozL00cbSMuntR4,38
Paul Kalkbrenner,No Goodbye,No Goodbye,2019,5gwLIRjGFf3hXuHoKEsWLg,58
LOUTA,QUEREME,QUEREME,2022,0bhWW1Bve1Ng6kEm8WjiQA,59
Xinobi,Far Away Place - Rampa Remix,Far Away Place (Rampa Remix),2018,4SpESjSScmJyuMamD9MKOL,61
DJ Snake,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",2021,6IPNp9PfaEqrzotY47TIWy,65
MËSTIZA,El Brillo - Radio Edit,El Brillo,2021,0M4zvKLAwfGjdiatZ7HCkD,41
Lucky Luke,Cooler Than Me,Cooler Than Me,2019,525GY0mXYnxajolwgS8Eaz,63
Anthony Keyrouz,Last Melody,Last Melody,2021,4XpDj477gvnsYNT21ap9Y8,61
Rhye,Song For You,Blood,2018,0BfLvshnvJldGROufmYCrv,53
Rodrigo Cuevas,La Magia de Tu Melena,La Magia de Tu Melena,2021,2pfgvbJXsmSGXdR98Aemvv,35
Rhye,Feel Your Weight - Poolside Remix,Blood Remixed,2018,1hgX0ZmmP7IRRjUFCIBrnQ,60
ARTBAT,Best of Me - Radio Edit,Best of Me (Radio Edit),2020,4bJ7hDIjOucR0hGDEaVBOr,60
Broken Lip,Jhay Cortez - Tokyo (Broken Lip EDIT),Gazpachuelo (VOL.1),2022,4WDuzmgkr1N9O5cdPRXAMT,36
Obskür,Bayside - Radio Edit,Bayside,2020,7hYW4hKuPkfaLbzTpg9hQB,66
Izzamuzzic,Shootout,Shootout,2022,4pTkDIlpFNoeWbahu8pVXW,66
WhoMadeWho,Abu Simbel,Abu Simbel,2021,1Y3yJHrBkkfj3GZKv1MVhF,59
Rodrigo Cuevas,Muerte en Motilleja,Manual de Cortejo,2019,2YxkvtRVTrVFnhkYd4GPwV,35
Ash,Sing It Back (feat. Naila),Sing It Back (feat. Naila),2018,2UhRf78iodPFuJa7TGMSFn,65
Fuel Fandango,Nuevo mundo (feat. Juancho Marqués),Nuevo mundo (feat. Juancho Marqués),2020,4hklliK34BQpPNsoag1JmL,34
DJ Snake,Guddi Riddim,Guddi Riddim,2022,5yN3wXc6fvM5SPTFjL6c4G,53
Paul Kalkbrenner,Parachute,Parachute,2020,3NgAAoUZPkxL5mpvUI7Rl5,54
Bomba Estéreo,Soy Yo - Sing 2 Mix,Sing 2 (Original Motion Picture Soundtrack),2021,2PKhtb0xCcYnFz1h8ii1wF,55
BICEP,Apricots,Isles,2021,0WfOuXw05LJq4ik1lVvTzi,59
Jayda G,Both Of Us - Edit,Both Of Us,2020,75rGONmoi48LLYBFaGiYsv,60
Solomun,Home,Nobody Is Not Loved,2021,6ekLy1OsrYdLMbcqc0KZ8G,56
Gaullin,Seven Nation Army,Seven Nation Army,2021,4SCbD68sf3dBfaE2X8uDSP,58
Sultan + Shepard,The Way,Echoes Of Life: Night,2019,7Ib1fj8HnRmi9WRBpDK6ie,58
Guy Gerber,What To Do - &ME Remix,What to Do (Remixes),2018,3PpvhYXmJdfoxeXGWJmeas,55
Fatboy Slim,Praise You (Purple Disco Machine Remix) (Radio Edit),Praise You (Purple Disco Machine Remix),2018,6RzRRbZxWWFm7ih6djhUzx,54
A-Trak,Coming Home,Coming Home,2020,0eOcjJgpO8XdJbPMYJgKqq,53
Califato ¾,Alegríâ de la Alamea (feat. Rosana Pappalardo),Puerta de la Cânne,2019,18R7zUJ4Rd2HBgywQfNrZN,31
Maribou State,Nervous Tics,Kingdoms In Colour,2018,2oJ8Il24SIiDCJv39RYzPp,60
Califato ¾,Çambra der Huebê Çanto (feat. Kurt Savoy),La Contraçeña,2021,1KIe86orsNcG9eZSPqGQ5d,31
Chace,Us - Selected Mix,Us,2020,5PU3Pd7ml1GfvJt7IqksG6,54
Maribou State,"Spooky - Recorded at RAK Studios, London",Spotify Singles,2019,2y0odeTeYsxWvYQ5rYANu0,57
Califato ¾,Buleríâ del aire acondiçionao (feat. Miguelito García) - Versión Maxi,Puerta de la Cânne,2019,0yV9em29PuD1roFpthc0aQ,31
Anthony Keyrouz,Tell Me How,Tell Me How,2022,0d2yUkzvqA85zHqiKA9IuE,56
DJ Snake,Magenta Riddim,Carte Blanche,2019,3dsyqPDiWYYilRZNBxgxHE,58
Dean Blunt,9,ZUSHI,2020,5JXtkWtuqS8Dm8sKbtPGWa,64
Thom Yorke,Suspirium,Suspiria (Music for the Luca Guadagnino Film),2018,4Y1igB1GDncJvt7ezbV3cW,55
Rodrigo Cuevas,Rumba de a Estierna,Manual de Cortejo,2019,6tuYZ2HOhnwOf8RvvZwNTE,30
DJ Snake,U Are My High,U Are My High,2021,3S7A85bAWOd6ltk6r2ANOI,62
Rodrigo Cuevas,Fíjate Si Era Rojo,Manual de Cortejo,2019,7uGLy2JmOvYmUoJBarmInu,30
Izzamuzzic,Shootout (Slowed + Reverb),Shootout (Slowed + Reverb),2022,1S7ca5mJlpHn7GCE88jejz,60
MËSTIZA,Deserto Rosso,Deserto Rosso,2022,3UpylGLGBX948rrgXrBruT,34
Ilija Djokovic,Vega,Vega / Neon,2021,7cEbICGWeFyBTmijsRtbjr,53
Izzamuzzic,Shootout (Sped Up),Shootout (Sped Up),2022,3r44Otr6SVUja3SYsCuhVY,60
PAAX (Tulum),Epico,Sera El Sol (Mixed),2019,6nv7sDQtRxp0JeH2sFUuwE,53
El Búho,Cumbia Sobre el Mar - El Búho Remix,Tributaries: A Remix Album (El Búho Remixes),2018,4TobIFLwvzPSraqUQBEZUI,49
DJ Snake,"Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) - REMIX","Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) [REMIX]",2019,5QXQy0f2q8wJNpPwJtjifx,50
BRONQUIO,"Contigo, Contigo, Contigo","Contigo, Contigo, Contigo",2019,4WA6Im7b8HRRHufpT6Ou6E,30
Gaullin,Moonlight,Moonlight,2018,0A5gdlrpAuQqZ2iFgnqBFW,57
Beyhude,Alabora,Alabora,2020,3uI33EsE7AVM3GMxaOn7fv,52
Dwin,Tokyo,Tokyo,2020,4obMuJXFa9APNiFtlQHFBh,57
Jerome Isma-Ae,Hold That Sucker Down (Mixed) - Charlotte de Witte Trance Remix,Trance Top 1000 - Mini Mix 013,2020,4LVeqapyAPVK1p4I4KPa0i,50
Anthony Keyrouz,Dance Again,Dance Again,2021,1iObkel3ZEmeqAnOQJs5ky,54
Verto,Oie Gayego,Oie Gayego,2020,0RXD7yNOvjNx4q4jYhHdeS,29
Fatboy Slim,Right Here Right Now (Radio Edit) (CamelPhat Remix),Right Here Right Now (CamelPhat Remix),2018,5cqAAt8rWLNrqhG5Otk6Jp,50
Birds of Mind,Mi Pena,Mi Pena,2022,4H1WX8N0IRyPn2kG1TrJEI,48
Jamie xx,KILL DEM,KILL DEM,2022,5CE0k1VmTXgCtaa5L288LP,53
Rhye,Taste,Blood,2018,6GbWNeR3P9MTCmSyPVHgb1,51
Soft Blade,Yugoslavskiy Groove,Softic,2021,0CRZ3cFFZEUglP5RlU2f9o,62
Peter Cat Recording Co.,Memory Box,Bismillah,2019,024nqC9O76nvAuIWtQGdQy,55
Metronomy,405 - Metronomy x Biig Piig,405 - Metronomy x Biig Piig,2021,1KjLbuPsJmYdZJt0CsyVAg,52
Flying Lotus,Crust,Yasuke,2021,6ri6ZQWxqIZgYd2RfsnKNa,54
Ladytron,Seventeen,Light & Magic,2022,7qHMaeWBGykUXtoMQLkIC4,57
Fuel Fandango,Mi danza (feat. Dani de Morón),Origen,2020,7kQPuYOoKgLR0PF0BtKHD5,29
Anthony Keyrouz,Hush Hush (Don't Be Shy),Hush Hush (Don't Be Shy),2022,6yotiCxcSIm4HyZdA6wcYH,53
Solomun,Tuk Tuk (feat. ÄTNA),Nobody Is Not Loved,2021,63mBIczqBJOxSs3y5JutUR,51
Anthony Keyrouz,Kisses Back,Kisses Back,2020,6uzwiQa5FkiiHLyt7ENYc6,50
BICEP,Lido,Isles,2021,0HZtVLVL6oLU9WobKQxqGu,53
DJ Snake,"Fuego (with Sean Paul & Anitta, feat. Tainy)",Carte Blanche,2019,660eekzsNZ7sdATvfIsAkR,52
Refeci,Dance Monkey,Dance Monkey,2020,29Wcsq14RbRqItlK0fmEDb,46
Bibio,Curls,Ribbons,2019,3bylizl2h9xMjnP8fRKrdz,56
BICEP,Opal - Four Tet Remix,Opal (Four Tet Remix),2018,3VtTuQ6lypMoOBcm6VMzdh,52
Jean-Michel Jarre,"Equinoxe, Pt. 5",Planet Jarre (Deluxe-Version),2018,0w6SpWTvf5i70VxgArASBB,44
ARTBAT,Closer,Montserrat / Closer,2019,1rGnpPG0QHfqjDgM8cIf4A,52
Bomba Estéreo,Como Lo Pedí,Deja,2021,0dilU0GG83rIpX8dXXz9Tz,43
Rhye,Come In Closer,Home,2021,5igmtIvxO86zVSo9QyoIyA,47
Metronomy,Things will be fine,Small World,2022,5fDVGTBnAnB8K0Kcn3Lmf6,48
Adam Beyer,Your Mind,Your Mind,2018,5NZdurYcFYOg3s2YyzeVgE,46
Garbage,The World Is Not Enough (2022 Remaster),Anthology,2022,47tqRpRJoH4eEPeWbCHe9x,49
Caribou,Home,Suddenly,2020,5k2LuHfNTJ2mCTj9tPtSaI,50
Nicolas Godin,Les rues de Paris,Au service de la France,2018,5Cfz0DCrcFpISyvDHBWy9f,52
The Chemical Brothers,Got To Keep On,No Geography,2019,4vh6Rn6FVG4w79JmlZ5p7d,49
Viken Arman,Close - Your eyes,Willow,2019,50LptHhSJpky3fYP2eBPU8,49
ARTBAT,Tibet,Tibet,2022,7xvl39LuJ8o5yeHR1kta90,53
BLOOM,My Future Is Off-World,My Future Is Off-World,2022,5gHU0nkuvMCn4e4rpOQD94,50
Martin Jensen,One Day,One Day,2022,1MDEvpaFk2Ins7N8hGfFlA,51
Röyksopp,Impossible - &ME Remix,Impossible (&ME Remix),2022,0TVcPTk3MMkT6WqkuatPSr,47
KC Lights,Daydreamer,Daydreamer,2022,3660k2kZKOFOFS8Cv6DkJy,50
Martin Jensen,Nobody,Nobody,2019,2qfEcCkEo5NscA9GL7ER72,50
ARTBAT,Horizon,Horizon,2021,7Mqdzo9NcZLUwTAoyV2AeE,51
CA7RIEL,McFly,McFly,2019,48JcYtQdubnaFz6sFdu6Zu,43
Booka Shade,Blaze,Blaze,2020,5vx3XZNWCSIIhKmsutYbn5,50
HOSH,Midnight (The Hanging Tree),Midnight (The Hanging Tree),2020,38MbUy2C0FLv6exayPlImu,50
Nicola Cruz,Criançada (con Castello Branco),Siku,2019,5eksCJ1r2T1kNlZPTHBGG2,45
CRASPORE,Flashbacks (Slowed),Flashbacks (Slowed),2021,6g5Vk6LUcUVNoYOM7EaG2Q,55
DJ Dark,Forever Young,Forever Young,2019,5dIhgx3ww0FMV2rwc19XE9,43
Bonobo,Rosewood,Fragments,2022,2ZaL63zLMDr6H18El2EIt9,52
Anthony Keyrouz,Kiss Me In Berlin,Kiss Me In Berlin,2022,7y3jmcF0MX0gTi6ihH2kpX,50
Sohodolls,Bang Bang Bang Bang - Remastered 2021,Bang Bang Bang Bang 2021,2021,4Dku5HwdwweHyc9LrOL4AB,56
Metronomy,The Light,Metronomy Forever,2019,64R2n9O7Aif7YP3ivkOWYS,51
Caribou,Never Come Back,Suddenly,2020,0Ej6OBBtMvhjaJvtt1vtUt,50
Bob Moses,Enough to Believe - Jamie Jones Remix,Battle Lines [Remixed],2019,4LtVrrqpn48l4Iq7KIshmi,52
BICEP,Water,Water,2022,09cgbbadzZSKFd1hGN23p5,55
The Avalanches,The Divine Chord,We Will Always Love You,2020,3A0cAzFKPefBCz7Z02UnnO,53
Vessel,Red Sex (Re-Strung) [feat. Rakhi Singh],Red Sex (Re-Strung) [feat. Rakhi Singh],2020,1Tp4xz7ybZ3dtQc6yBs3m4,58
NATE08,Primrose (feat. Naisha),Furaha,2022,5Pxw4MqAFpXufdGhnAmYgI,52
Röyksopp,"Oh, Lover",Profound Mysteries II,2022,2gJqvIPF8NCBmZ9Ivlj3XV,47
Milk & Sugar,Let the Sun Shine - Purple Disco Machine Remix,Let the Sun Shine (Purple Disco Machine Remix),2021,1W02hcbdwd4do45YJqSlED,41
Tensnake,Coma Cat - Purple Disco Machine Re-Work,Coma Cat (Purple Disco Machine Re-Work),2022,1BMFet4vUoOgpLYIl3kVMQ,48
Bomba Estéreo,Ahora,Deja,2021,5OeuoRbB5ta4gXaK3VzZ8I,41
Marie Davidson,Work It - Soulwax Remix,Work It (Soulwax Remix),2019,6WfL1pwMyFf3IvFWLnre4P,49
Bonobo,Polyghost,Fragments,2022,0JL9dXZ2tjMabWjVjeutKH,50
Anthony Keyrouz,Spectrum (Say My Name),Spectrum (Say My Name),2021,2DRJ8zX1cHBr2DyVJNcQhu,51
Dog Blood,BREAK LAW,Turn Off The Lights,2019,223t7TwvWm5PuE1IuWpRZM,44
DJ Snake,Disco Maghreb,Disco Maghreb,2022,0RVmOh80HfpuygCBt2d1va,51
deadmau5,Escape - John Summit Remix,Escape (John Summit Remix),2022,68lTEhMEx4MxDCJypT6bXE,55
PAAX (Tulum),Ikaro,Sera El Sol (Mixed),2019,2qpHNRwBzStBLmwAXlDsMR,47
Rebūke,Along Came Polly,Along Came Polly,2018,6fL2wAZuNKGpze9E3SINnW,50
Sahalé,Sapana,Buddha Bar (by Sahalé & Ravin),2019,6Lug1sWzQOhfySNlsmDNkI,49
Maribou State,Glasshouses,Kingdoms In Colour,2018,7isVqPzG3R5ni6IM4YG0sv,55
Gaullin,Sweater Weather,Sweater Weather,2019,6siDDghVE7fxel5o7fE4OF,52
Bonobo,Shadows,Fragments,2022,7aLYQgzGLy8duSSdTJa1ik,50
Miranda!,Me Gustas Tanto (feat. Sidonie),Souvenir,2021,2wVk026aPEMxofNQvBIr8n,44
Inquisitive,Dancing In The Moonlight,Dancing In The Moonlight,2021,5lAOg3SxL5w8W2A6PdJ8dC,40
PAAX (Tulum),Ritual,Sera El Sol (Mixed),2019,0KXMlfLPxY8bWv93FhBYve,48
Christian Löffler,Ronda,Ronda,2020,4WyhOKXtCkNVcgfTBpYaxm,47
islandman,Chaldene,Buddha Bar Elements,2020,0BZj6wKayrfQqgNQxJdqJZ,48
Hippie Sabotage,Trust Nobody,Trust Nobody,2019,0uYmQ3X53P03KWj83u5I59,58
LOUTA,AYER TE VI (feat. Zoe Gotusso),ENCHASTRE,2018,7gfyrnHMieXMjIW4n2p5wf,52
Steve Kroeger,Summer,Summer,2021,28iXG2opEt5YUr1yZlcOfe,42
Will C,Can Can Techno,Can Can Techno,2022,695VuPPL9sXeYMTYD167iw,40
DJ Dark,Isla Bonita,Isla Bonita,2019,237piArDEVghCWdWXFcY7i,43
HEDEGAARD,P.I.M.P. - HEDEGAARD Remix,DARK MATTER,2021,5UCxWGNXG4kjBmpftwyctt,54
Kerala Dust,The Chain,The Chain,2018,7IctzNEJucIBzkAWYg6np2,49
Bob Moses,Broken Belief,The Silence in Between,2022,583nKvZJmUVTVFHdIrF6LX,51
Rhye,Black Rain,Home,2021,5WiBOUfizLpHt0NY2V7XCn,48
islandman,Night Wind,Rest in Space,2018,7afB9uuN1t1UQArknKHaBh,46
Bomba Estéreo,Vive Bacano,Vive Bacano,2020,4v6wc8OyLo5ZEC3YOOCMWO,38
Bomba Estéreo,Carnavalera,Carnavalera,2019,2qyyS2lOdC7oxZDQ7tCuY0,39
Sam Gellaitry,Assumptions,IV,2021,4NczzeHBQPPDO0B9AAmB8d,54
Morcheeba,Sounds Of Blue,Blackest Blue,2021,6C0wbB5MMFHgTPyWuZoLV4,45
TroyBoi,Do You?,"V!BEZ, Vol. 3",2019,0tAFy8LVdMQgW6A6Nq7olS,54
Metronomy,Right on time,Small World,2022,6JJ3UK1YfxO26iEiMWUHHj,44
Quantic,Cumbia Sobre El Mar,The Power of the Latin Music,2018,7KooLjzPsWw4TT12acawEB,43
Maribou State,Beginner's Luck,Kingdoms In Colour,2018,6adjXENHRzh4uyVziFlVGm,53
DJ Snake,Selfish Love (with Selena Gomez),Selfish Love (with Selena Gomez),2021,3XoflnowYPFRPOh3uFvHcm,52
DJ Snake,Run It (feat. Rick Ross & Rich Brian),Shang-Chi and The Legend of The Ten Rings: The Album,2021,5x4vgABKiGp4Vg7ZyFRxhn,56
Populous,Banda,W,2020,6YShNhG2emvYQeh5nSMpiX,44
Peces Raros,Cicuta,Dogma,2021,49zmg7q7EMqJzOUf88Bz7C,48
MEUTE,Hey Hey,Hey Hey,2018,5Ix1TtnsaCMcDjn3WAKYQE,43
Caribou,You and I,Suddenly,2020,3fE5R4go6pHVxwG3sR3Uza,44
Cerrone,Supernature (Instrumental CLIMAX edit),Supernature (instrumental),2018,7nIsxHK8t1p215mXLpZgbh,46
