artista,cancion,album,año,spotify_id,popularidad
Ghost,Mary On A Cross,Seven Inches of Satanic Panic,2019,2wBnZdVWa5jVpvYRfGU7rP,76
Rammstein,Deutschland,Rammstein,2019,2bPGTMB5sFfFYQ2YvSmup0,73
Bring Me The Horizon,Kingslayer (feat. BABYMETAL),POST HUMAN: SURVIVAL HORROR,2020,7CAbF0By0Fpnbiu6Xn5ZF7,73
Ozzy Osbourne,Crazy Train,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,7ACxUo21jtTHzy7ZEV56vU,74
Sons of Aguirre,Cristales Rotos,Azul/Rojo,2018,2v7exGU90YFXvlxUJ9dFvQ,42
SiM,The Rumbling,The Rumbling,2022,6k0X05danQOXSBTVek5DU1,67
Bad Omens,Just Pretend,THE DEATH OF PEACE OF MIND,2022,1H4Y9uW4N0LsxJUz0VnaPJ,74
Architects,Animals,For Those That Wish To Exist,2021,5ofoB8PFmocBXFBEWVb6Vz,66
Bad Omens,THE DEATH OF PEACE OF MIND,THE DEATH OF PEACE OF MIND,2022,6tRneEcItwpSxBtqgem5Dr,72
Rammstein,Ausländer,Rammstein,2019,7j43FohbLVulScL7S9sQZk,67
Bad Wolves,Zombie,Disobey,2018,5d8Wq39QLT6OQWsY9paz5n,73
Slipknot,Unsainted,We Are Not Your Kind,2019,5mpUKTdskZea0gStWzeHUZ,70
Bad Omens,Like A Villain,THE DEATH OF PEACE OF MIND,2022,0xoyUiHhxVH4gwb0CRgNmg,70
Ghost,Dance Macabre,Prequelle,2018,4pIKFpwflOdhYNIRmPTj3E,61
Miracle Of Sound,Valhalla Calling,Level 11,2020,2nRKJI3XsWPb5d8VXwn2iK,66
Rammstein,Radio,Rammstein,2019,5vZ4IeUenK2cHub2d7yfWk,66
Electric Callboy,We Got the Moves,TEKKNO,2022,0W4N0KzHKWQp2Wn1Mf6uMa,65
Motionless In White,Another Life,Disguise,2019,0YZEYxd1oiqZRFhnnmTKKi,69
Bring Me The Horizon,1x1 (feat. Nova Twins),POST HUMAN: SURVIVAL HORROR,2020,6sIbv1oWOuma2qV907MUbk,65
Falling In Reverse,Popular Monster,Popular Monster,2019,4GssB27iJeqmfGxS94Tfij,68
Rammstein,Dicke Titten,Zeit,2022,5KTBaWu8IOczQ0sPWzZ7MY,65
Slipknot,Nero Forte,We Are Not Your Kind,2019,56fiFTRrSiHHH3gBeaTg2P,67
Wind Rose,Diggy Diggy Hole,Wintersaga,2019,0FDY2EHOv32kUoqplU1hdY,62
We Came As Romans,Black Hole,Darkbloom,2022,1g5Jqwo02PuitYfv19B6Jn,66
Mägo de Oz,Te traeré el horizonte (feat. Ara Malikian),Ira Dei,2019,4myEGSZoVXxoLTnUgzEoPG,51
Spiritbox,Circle With Me,Eternal Blue,2021,3FI0iAAAjmR31xpZEwbdys,68
The Plot In You,FEEL NOTHING,DISPOSE,2018,4xDwCYhobDehSBGUmd5H6Y,66
Ghost,Spillways,IMPERA,2022,0WHtcCpZnoyFlQg3Mf2cdN,62
Memphis May Fire,Misery,Remade In Misery,2022,6gfUOprNMeD8amncMOSFl0,66
Beast In Black,Die By The Blade,From Hell With Love,2019,53h1ZSLWi8hVWF9DWKNXVh,60
Sleep Token,Alkaline,This Place Will Become Your Tomb,2021,0B4YX3OMtZSmPm9KpiZKl2,70
Lepoka,Contra Viento y Marea,El Baile de los Caídos,2020,2yDkReUeTjk9AT6oPWV55Q,42
Rammstein,Armee der Tristen,Zeit,2022,514GW1c9Jn21KgZmO6mZIE,63
Ghost,Mary On A Cross,[MESSAGE FROM THE CLERGY],2022,7wdwIaXUuzlu1grzWMFRJm,63
Rammstein,Angst,Zeit,2022,0UuNO0yYvsMPlyLF7RfQlg,63
Bring Me The Horizon,Parasite Eve,POST HUMAN: SURVIVAL HORROR,2020,36xBFaVGjqm7le8CTHytUj,65
Mägo de Oz,La Dama del Mar,Bandera Negra,2021,2EUIC7qEQoW3W4vKXEPm0j,50
Caskets,Glass Heart,Lost Souls,2021,1nxbn0COjeyH7MQZ27T3CR,65
Bring Me The Horizon,Teardrops,POST HUMAN: SURVIVAL HORROR,2020,3WATWS2Ywo5HeHtG0bE2iZ,65
Bad Omens,Nowhere To Go,THE DEATH OF PEACE OF MIND,2022,4TzGD5Pryq8DTjv5QRuJaW,65
Black Label Society,Stillborn,The Blessed Hellride,2018,7s6Rk59SDllxPq5omrxJT4,63
Papa Roach,Kill The Noise,Ego Trip,2022,2DyDyOW1hRYFFaMhBCAHJ9,64
Ghost,Call Me Little Sunshine,IMPERA,2022,4xAmbn7xiy6wGOs4oaxv70,62
Rammstein,Zeig dich,Rammstein,2019,3d3k8g4GTVx9EFIFlOZOEX,62
Mägo de Oz,Resacosix en Pandemia,Bandera Negra,2021,6MX9SLqwuuTPY5hXOnKm2O,46
Electric Callboy,Pump It,TEKKNO,2022,6emZMVNvIxW57fhxPlyxLp,60
Mägo de Oz,Tu madre es una cabra,Bandera Negra,2021,4I2JPw6ZYlffIWBnUZfjim,41
Medina Azahara,Tu Frialdad,Llegó El Día,2022,46vHSZlJoaF8jAoZnECRoK,34
Sabaton,Stormtroopers,The War to End All Wars,2022,7cUHFTxJhxtZ5tpY34SMRw,61
Scila,Valley of the Fallen,Valley of the Fallen,2018,1sIq6r8UYBG03bBcg9qVfc,34
Parkway Drive,Prey,Reverence,2018,7lMFAK8dv0QkWpIlZcWQlJ,57
Celtian,La Hija De Las Estrellas,Mester De Juglaría,2021,3T3WRjAFFKgw7Cb3hsCL5A,43
Tomorrow,ННД,ННД,2018,3X412wnMLKyqctlRfhPa7Q,61
Electric Callboy,Tekkno Train,TEKKNO,2022,1XK0SrwnujLMZv22WjVQU9,61
The Offspring,Let The Bad Times Roll,Let The Bad Times Roll (Deluxe Edition),2021,0O2UONKvVfdwDyefKh5Yo1,58
Holding Absence,Afterlife,The Greatest Mistake of My Life,2021,7ridH3hy4aXG6Kn1XomKrO,65
Ghost,Life Eternal,Prequelle,2018,5fXQmRFO1CDN04HtUVNCUh,55
I Prevail,Gasoline,TRAUMA,2019,6Q1m1GyNxyOwZ2ud3p7XoS,66
Architects,Doomsday,Holy Hell,2018,75R95k0ICuZBFVEjBauOtt,60
Mägo de Oz,La cantiga de las brujas,Ira Dei,2019,0FWalCAwAQKo6RsytWPMUw,47
Celtian,En Tierra de Hadas,En Tierra de Hadas,2019,6mII4G0kzbtic4I2ufv6ja,45
Saurom,El Lazarillo De Tormes,Música,2020,3ZoTZ4D7ruWZLKoSoMsJra,40
Dynazty,Heartless Madness,The Dark Delight,2020,4QaxyJsbo5AR3bnEB7ko8h,59
Ghost,Kiss The Go-Goat,Seven Inches of Satanic Panic,2019,79QLNktJsGNRz4ijFnDywD,59
Bad Omens,Limits,Finding God Before God Finds Me (Deluxe),2020,1u3OxJiXoYFdA0Fmd9yURC,64
Falling In Reverse,Voices In My Head,Voices In My Head,2022,5XUuldRjPXcP5QxyEN4IXT,63
Motionless In White,Masterpiece,Scoring The End Of The World,2022,3c9kVsKF68xMzlS0NikVn3,65
Red Hot Chili Peppers,Black Summer,Black Summer,2022,3a94TbZOxhkI9xuNwYL53b,59
Guns N' Roses,Sympathy For The Devil,Greatest Hits,2020,4InpYF6IH5bhuHwG0R0faj,53
Motionless In White,Somebody Told Me,Somebody Told Me,2020,1KF6uW84ksAUlTMy08gP1R,63
Sons of Aguirre,Privilegiados,Azul/Rojo,2018,0B9ZHqyVIoEiE0ConyPaSE,32
Saurom,Cuando Nadie Nos Ve,Música,2020,6KwgosWpslhmwlRRcRRqiB,47
Wage War,Manic,Manic,2021,5d0CEohvmvqcizfc0cXn1t,59
Bad Omens,CONCRETE JUNGLE,THE DEATH OF PEACE OF MIND,2022,6yCysJaY0lFqHnrHvaR4pF,63
TOOL,Pneuma,Fear Inoculum,2019,03sEzk1VyrUZSgyhoQR0LZ,63
Bad Omens,ARTIFICIAL SUICIDE,THE DEATH OF PEACE OF MIND,2022,2Qv8xJzenocwXyGlMU5PaC,64
Beast In Black,Sweet True Lies,From Hell With Love,2019,2cyJkqB2OYHwWWvKGtrJ0r,58
Rammstein,Giftig,Zeit,2022,3Ye7vnZdrO2Gq5IyyH3cOp,60
Rammstein,Zeit,Zeit,2022,2KsHzM4L7ThhNJB6MHXkPx,60
Rammstein,Zick Zack,Zeit,2022,2w7Ca8DNYXBCgA6Bht7o0N,59
Sabaton,The Red Baron,The Great War,2019,0ePmfd8y7g4zs3E6ew7pDB,59
Sons of Aguirre,PacoPepe,Lo Que Ocurrió Mientras Mirabas a Otro Lado,2019,4FOKemZPrCgNkfVuLplS1g,32
Beast In Black,One Night In Tokyo,Dark Connection,2021,2TZtQt10Ajm3wB4MoqluZj,58
Sabaton,The Attack of the Dead Men,The Great War,2019,2K2NeVnP853rkR5ese8ZLP,60
Celtian,Niamh,En Tierra de Hadas,2019,39IWWEcrnQ17pHnKSTLufJ,39
SiM,The Rumbling (TV Size),The Rumbling (TV Size),2022,0KCSJzsQVxkloxoT7dyrqV,57
The Offspring,Coming For You,Let The Bad Times Roll (Deluxe Edition),2021,0FLmCEO4OccwwiHxveEpt1,54
Volbeat,Shotgun Blues,Servant Of The Mind (Deluxe),2021,2SMNxADB0ffqaIoOwl2x06,60
Electric Callboy,Hypa Hypa,MMXX - Hypa Hypa Edition,2021,2qOmcSjOQEDIJKosonn75a,59
Ghost,Rats,Prequelle,2018,1WjcX541kITk0ACPf5K6Bp,54
Mägo de Oz,Bandera Negra,Bandera Negra,2021,5FrJbQ87NDDkmdW1JZPhLb,43
