artista,cancion,album,año,spotify_id,popularidad
La La Love You,El Fin del Mundo,La la Love You Bonus,2020,70JnnNNAxPjvZGPwjJfX47,68
Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",2022,2tTmW7RDtMQtBk7m2rYeSw,80
Manuel Turizo,La Bachata,La Bachata,2022,5ww2BF9slyYgNOk37BlC4u,77
Arde Bogotá,Sin Vergüenza,Sin Vergüenza,2022,0mJ2qmDI2X4wrSIIBrvvpN,63
DePol,Quién Diría,Quién Diría,2022,0Fd3900xH77g0ARXQjtYvV,63
Marta Santos,Las Cosas Pequeñitas,Las Cosas Pequeñitas,2022,5LU8Lk8uSCdMgBaqcTujmi,64
Feid,Feliz Cumpleaños Ferxxo,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,2022,2CeKVsFFXG4QzA415QygGb,81
zzoilo,Mon Amour - Remix,Mon Amour (Remix),2021,5TMLavqGRKNxgzMBrVpC9R,74
Rauw Alejandro,Desesperados,VICE VERSA,2021,6mmPpaltUZK7xjNlBPQQ0p,79
Rauw Alejandro,Dile a El,Afrodisíaco,2020,13Tbv4nflNxg9kYBIbJnd9,78
Sia,Snowman,Everyday Is Christmas (Deluxe Edition),2018,7uoFMmxln0GPXQ0AcCBXRq,91
Marc Seguí,Tiroteo - Remix,Tiroteo (Remix),2021,4OwhwvKESFtuu06dTgct7i,78
Marta Santos,La Bachata,La Bachata,2022,46dmazd1o2QIs1DfjyyTx5,63
ELYELLA,Que nada nos pare (lo más importante),Que nada nos pare (lo más importante),2022,1FG7ZjnuT0O9CsDKOxND0E,61
Morat,Cuando Nadie Ve,Balas Perdidas,2018,71iAechwVKGu26pahzFL0k,76
Feid,Normal,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,2022,0T2pB7P1VdXPhLdQZ488uH,79
Rauw Alejandro,Cúrame,VICE VERSA,2021,1FlL8ycld6uVDDyhV7P5FA,75
Arde Bogotá,Antiaéreo,Antiaéreo,2020,15tDDogDQ8kOcs5b6G2bN5,61
Viva Suecia,El Bien,El Amor De La Clase Que Sea,2022,6IuZFiKCeyQINqL0Id3xF2,61
Morat,Besos En Guerra,Balas Perdidas,2018,1mlGScrDQqHqmhdIqE8MmA,75
Dani Fernández,Bailemos,Incendios,2019,5EnaxC9amhXY55ezw87SL8,61
The Weeknd,Blinding Lights,After Hours,2020,0VjIjW4GlUZAMYd2vXMi3b,87
Maluma,Hawái,PAPI JUANCHO,2020,1yoMvmasuxZfqHEipJhRbp,79
Harry Styles,As It Was,Harry's House,2022,4Dvkj6JhhA12EX05fT7y2e,86
Rauw Alejandro,Todo De Ti,VICE VERSA,2021,3rdAz1fbUfZxYgaCviYhRo,79
Morat,No Se Va,Balas Perdidas,2018,4khWEpnaijN0G1x019Uzdr,77
David Guetta,I'm Good (Blue),I'm Good (Blue),2022,4uUG5RXrOk84mYEfFvj3cK,85
DePol,Qué Bonita,Qué Bonita,2022,31TmMW92lP0UoxtAaF89hU,61
Ozuna,Hey Mor,OzuTochi,2022,1zsPaEkglFvxjAhrM8yhpr,76
Lewis Capaldi,Someone You Loved,Divinely Uninspired To A Hellish Extent,2019,7qEHsqek33rTcFNT9PFqLf,85
ROSALÍA,DESPECHÁ,MOTOMAMI +,2022,53tfEupEzQRtVFOeZvk7xq,75
Leiva,Como Si Fueras a Morir Mañana,Nuclear,2019,4aAfLSx9IthpC3Pw5pNk3E,60
Manuel Turizo,Quiéreme Mientras Se Pueda,Dopamina,2021,1WH3iquIQXnSPwUzlROT8R,75
Feid,CHORRITO PA LAS ANIMAS,SIXDO,2022,0CYTGMBYkwUxrj1MWDLrC5,76
Manuel Carrasco,Qué Bonito Es Querer,La Cruz Del Mapa,2018,6uzGmmQ4CuG9HvZktEy0LF,61
Rauw Alejandro,El Efecto,El Efecto,2019,4SJHHpKhcuXwDsCsPqshXj,77
Danny Ocean,Me Rehúso,54+1,2019,6ifUES3keWjwXgae8pXI3o,77
Rauw Alejandro,La Old Skul,VICE VERSA,2021,4Z8HZSApeddaRM2ovivUj4,76
Taylor Swift,Cruel Summer,Lover,2019,1BxfuPKGuaTgP7aM0Bbdwr,88
Melendi,Destino o casualidad,Destino o casualidad,2018,2sMxswHr9wX7kTUHULvJBJ,71
Djo,End of Beginning,DECIDE,2022,3qhlB30KknSejmIvZZLjOD,89
sangiovanni,mariposas,mariposas,2022,5R2hNuiiwnKVAUNktF9j2Y,61
Feid,Ferxxo 100,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,2022,1sbNEFiURUYfy024cJX8JG,76
