artista,cancion,album,año,genero,spotify_id,popularidad
Yera,Mejores Amigos,Mejores Amigos,2019,pop,7tQ24skemknA6PPh6gwFi1,62
Camilo,Tutu,Tutu,2019,pop,1nocRtwyNPVtGcIJqfgdzZ,61
Romeo Santos,Canalla,Utopia,2019,pop,4XEXrp37kZXpQTB2r5vWbS,59
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,2019,pop,2Rk4JlNc2TPmZe2af99d45,72
BTS,Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,2019,pop,4a9tbd947vo9K8Vti9JwcI,74
Arizona Zervas,ROXANNE,ROXANNE,2019,pop,696DnlkuDOXcMAnKlTgXXK,72
MEDUZA,Lose Control,Lose Control,2019,pop,7CHi4DtfK4heMlQaudCuHK,68
Cigarettes After Sex,Falling In Love,Cry,2019,pop,0O0bttAxJKKWqAqY2Nq4mC,73
Cardi B,Please Me,Please Me,2019,pop,0PG9fbaaHFHfre2gUVo7AN,76
Labrinth,Still Don't Know My Name,Euphoria (Original Score from the HBO Series),2019,pop,6N22FZs2ZhPBYi3b9XPajV,72
Avicii,Heaven,TIM,2019,pop,0vrmHPfoBadXVr2n0m1aqZ,67
Marc Anthony,Parecen Viernes,OPUS,2019,pop,0dqfl4l45vqw2TnNrnbsy0,59
Ariana Grande,boyfriend (with Social House),boyfriend,2019,pop,0Ryd8975WihbObpp5cPW1t,76
Drake,Trust Issues,Care Package,2019,pop,4Wjhj0WjkyECccfHVIgaTq,76
Taylor Swift,Afterglow,Lover,2019,pop,1SymEzIT3H8UZfibCs3TYi,72
Post Malone,Goodbyes (feat. Young Thug),Hollywood's Bleeding,2019,pop,0t3ZvGKlmYmVsDzBJAXK8C,73
Melanie Martinez,Teacher's Pet,K-12,2019,pop,5o5akY9xnEk6lpMkD8RwD9,71
Moha La Squale,Ma belle,Ma belle,2019,pop,3Aq1SJ1hWlfazx8IIC6u1D,60
MEDUZA,Piece Of Your Heart - Alok Remix,Piece Of Your Heart (Alok Remix),2019,pop,6iW38RGqdDGOofmz2HeXLW,69
Taylor Swift,All Of The Girls You Loved Before,All Of The Girls You Loved Before,2019,pop,4P9Q0GojKVXpRTJCaL3kyy,72
DTF,Me Gusta,On ira où ?,2019,pop,6P3FBaZfUjeWYExU2ShaPZ,64
FINNEAS,Let's Fall in Love for the Night,Blood Harmony,2019,pop,4pfhgOylRLcBll5JjUsJZj,69
Camila Cabello,My Oh My (feat. DaBaby),Romance,2019,pop,3yOlyBJuViE2YSGn3nVE1K,71
Coldplay,Orphans,Everyday Life,2019,pop,03T4ttRCiLXST6MZjeMwmR,64
Tyga,Taste (feat. Offset),Legendary,2019,pop,2toVe5hfuIi97ytDPDbQFt,72
MEDUZA,Piece Of Your Heart,Piece Of Your Heart,2019,pop,1DFD5Fotzgn6yYXkYsKiGs,66
melvitto,Santorini Coffee,THENIGHTISYOUNG.,2019,pop,6TTR7tXftck5lU7BPRY7bV,67
Sech,Falsas Promesas,Sueños,2019,pop,6ATIufHUOw1R1A4q46BqrN,56
Mustard,Ballin' (with Roddy Ricch),Perfect Ten,2019,pop,3QzAOrNlsabgbMwlZt7TAY,73
Cigarettes After Sex,Touch,Cry,2019,pop,1l4pW7Tklvcc3k38rDFMkk,73
Fred De Palma,Una volta ancora (feat. Ana Mena),Uebe,2019,pop,6swHvavSroD4ur3Q18MjYz,57
Lana Del Rey,Norman fucking Rockwell,Norman Fucking Rockwell!,2019,pop,3RIgHHpnFKj5Rni1shokDj,71
Taylor Swift,London Boy,Lover,2019,pop,1LLXZFeAHK9R4xUramtUKw,70
JACKBOYS,GATTI,JACKBOYS,2019,pop,40mjsnRjCpycdUw3xhS20g,69
Noah Kahan,False Confidence,Busyhead,2019,pop,7nDFTHHwfe32a8qdp9XqPy,71
Kany García,Aunque Sea Un Momento,Contra el Viento,2019,pop,7nfvfmJsbzoEFciY8w7ajA,61
Sam Smith,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),2019,pop,6Qs4SXO9dwPj5GKvVOv8Ki,69
Bizarrap,"Frijo: Bzrp Music Sessions, Vol. 10","Frijo: Bzrp Music Sessions, Vol. 10",2019,pop,5z2pkfNzSL9Ad87xcQQEdw,57
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),No.6 Collaborations Project,2019,pop,4vUmTMuQqjdnvlZmAH61Qk,69
Greeicy,Más Fuerte,Baila,2019,pop,6PLihys6LLwbCI9GRByWZ0,61
Taylor Swift,Cornelia Street,Lover,2019,pop,12M5uqx0ZuwkpLp5rJim1a,71
Feid,Sígueme - Remix,19,2019,pop,7IpRYJ71dk98P0SmgnNLYh,56
Confetti,Ghost,Ghost,2019,pop,30uCmqegKQnH5AbOE51gPD,68
Yeah Yeah Yeahs,Heads Will Roll - A-Trak Remix Radio Edit,Good Morning Music: Wake Up Workout,2019,pop,5qGIfWDRdyO67LCTqA2sEn,67
Taylor Swift,False God,Lover,2019,pop,5hQSXkFgbxjZo9uCwd11so,71
Y2K,Lalala,Lalala,2019,pop,51Fjme0JiitpyXKuyQiCDo,69
Jax Jones,You Don't Know Me (feat. RAYE),Snacks,2019,pop,4DJORZgsbqnEJ4f4B9TBGV,65
Romeo Santos,Payasos,Utopia,2019,pop,1soECbw2IFdWt5W8Rb4uG7,55
James TW,When You Love Someone,Chapters,2019,pop,0TXNKTzawI6VgLoA9UauRp,67
Avicii,Heart Upon My Sleeve (feat. Imagine Dragons),TIM,2019,pop,6kXNnS7JJz0nAv4XEwEmQJ,64
Sech,Solita,Sueños,2019,pop,0tJCo71s7HT9Mu5Z4juuLw,60
Drake,Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,2019,pop,5ry2OE6R2zPQFDO85XkgRb,72
Romeo Santos,La Demanda,Utopia,2019,pop,3zVibdZHsVH05p5Crux6xX,55
Riton,Turn Me On (feat. Vula),Turn Me On (feat. Vula),2019,pop,0qaWEvPkts34WF68r8Dzx9,66
Lana Del Rey,How to disappear,Norman Fucking Rockwell!,2019,pop,4qUtC2BwFC154Ha8YQRrkk,70
Ariana Grande,needy,"thank u, next",2019,pop,1TEL6MlSSVLSdhOSddidlJ,70
Olivia Dean,Ok Love You Bye,Ok Love You Bye,2019,pop,66YywMJbAgzQrGkFKjnSsK,69
Ariana Grande,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Charlie's Angels (Original Motion Picture Soundtrack),2019,pop,6zegtH6XXd2PDPLvy1Y0n2,66
Sia,"Thunderclouds (feat. Sia, Diplo, and Labrinth)","LABRINTH, SIA & DIPLO PRESENT... LSD",2019,pop,4lJNen4SMTIJMahALc3DcB,66
Taylor Swift,Death By A Thousand Cuts,Lover,2019,pop,2dgFqt3w9xIQRjhPtwNk3D,69
Lana Del Rey,Mariners Apartment Complex,Norman Fucking Rockwell!,2019,pop,6OG05bPAwUuV3OMvy2Vy1P,67
Wham!,Last Christmas,George Michael & Wham! Last Christmas: The Original Motion Picture Soundtrack,2019,pop,38p8YDx5gepOiK4SnEfoB4,68
