Artista,Reproducciones,Oyentes,Biografía,Artistas_Similares
Elephant Tree,766694,55083,"Elephant Tree are a new band, just about to start cutting their teeth in the London metal scene. Having moved down and taken in many many gigs and shows the guys have been influenced to start making their own music. Linking up with Pete of Trippy Wicked & the Cosmic Children of the Knight and Stubb in early January and Riley 'Sitar Wizard' MacIntyre soon after, things are snowballing quickly with more songs in the pipelines.  Recording in the summer for their first EP <a href=""https://www.last.fm/music/Elephant+Tree"">Read more on Last.fm</a>","Lowrider, Spaceslug, King Buffalo, Mars Red Sky, 1000mods"
Mother's Cake,651823,51037,"Mother's Cake is an Austrian band playing a mix of funk, hardrock and progressive/psychedelic music. It was formed by Yves Krismer (guitar, vocals), Benedikt Trenkwalder (bass) and Jan Haußels (drums) in 2008. Their distinctive sound is influenced by diverse bands such as The Mars Volta, Porcupine Tree, RHCP and Bootsy Collins among others.

The band came in third place out of roughly 1000 bands at ILA 2010 and won the biggest band contest in Austria - Local Heroes <a href=""https://www.last.fm/music/Mother%27s+Cake"">Read more on Last.fm</a>","Rose Hill Drive, The Intersphere, The Parlor Mob, Black Peaks, Kills Birds"
Bodysnatcher,1435090,69748,"There is more than one artist with this name:

1. Bodysnatcher is a metalcore/deathcore band from Melbourne, Florida currently signed to the MNRK Heavy label. Bodysnatcher consists of: Kyle Medina - vocals, Kyle Carter - guitar, Kyle Shope - bass and Chris Whited - drums

2. Original Dubstep/Electro from UK producers Bodysnatcher. there websites can be found here http://www.myspace.com/bodysnatcherdub http://www.youtube.com/user/Flashjtmusic they have an album called Volume One. <a href=""https://www.last.fm/music/Bodysnatcher"">Read more on Last.fm</a>","Spite, Traitors, Distant, Signs of the Swarm, To the Grave"
The Heavy Eyes,930546,64389,"The Heavy Eyes is psychedelic bluesy rock from the delta that sounds similar to a skeleton driving a speed boat on a flaming Mississippi River headed back to 1969.

Download it this for free at http://theheavyeyesmemphis.bandcamp.com/ <a href=""https://www.last.fm/music/The+Heavy+Eyes"">Read more on Last.fm</a>","Black Rainbows, Killer Boogie, Valley of the Sun, Greenleaf, Dozer"
Reckless Love,2726595,87048,"Reckless Love is a glam metal band from Finland. The band was founded in 2001 and started to gradually gain underground reputation as an energetic live act. Eight years of small scale touring, two line-up changes and four demos later the band finally took it's current form and found it's own recognizable sound. In the spring of 2009 Reckless Love started recording it's debut album and signed a world wide record deal with Universal Music.

After two singles (One More Time <a href=""https://www.last.fm/music/Reckless+Love"">Read more on Last.fm</a>","Wig Wam, Hardcore Superstar, Crazy Lixx, H.E.A.T, Santa Cruz"
ILLUMISHADE,259288,13645,"Illumishade is a Swiss heavy metal band. The band was founded in 2019 by Eluveitie band members Fabienne Erni and Jonas Wolf and makes cinematic and fantasy music, combined with rock and metal. The band is currently signed to Napalm Records. The name is a combination of the English words illumination and shade and refers to the contrast between light and darkness that emerges in the songs, as well as the contrast between quiet and heavy songs.

History <a href=""https://www.last.fm/music/ILLUMISHADE"">Read more on Last.fm</a>","Ad Infinitum, Phantom Elite, Visions of Atlantis, The Dark Side of the Moon, SinHeresY"
Seven Spires,1081922,20830,"Seven Spires was conceived in Boston in 2013 in a bookstore by guitarist Jack Kosto and vocalist Adrienne Cowan. With the additions of old friends Chris Dovas and Peter de Reyna, a complete band was formed. Though young in countenance, the four were armed with highly specialised training from Berklee College of Music, as well as an insatiable drive to earn that which they hungered for.

In their early years, they shared bills with the likes of Arch Enemy <a href=""https://www.last.fm/music/Seven+Spires"">Read more on Last.fm</a>","Unleash the Archers, Helion Prime, Visions of Atlantis, Ad Infinitum, Alterium"
Ignea,837403,41993,"IGNEA was started in Kyiv, Ukraine back in 2011 under name Parallax. Intentionally, it was the first Ukrainian band to play oriental metal. The band, however, didn't limit itself to strict boundaries of oriental metal, and included elements from symphonic, industrial, modern, progressive and other modern subgenres of metal. In 2013, the band entered Morton Studio, well-known rock and metal studio in Ukraine, to record its debut EP, titled Sputnik.  <a href=""https://www.last.fm/music/Ignea"">Read more on Last.fm</a>","Eleine, Ad Infinitum, Blackbriar, Seven Spires, Delain"
Dead by April,20328662,508139,"Dead by April is a modern metal band from Gothenburg, Sweden.

The band released a demo in 2007 and another in 2008, and they both leaked out to several peer-to-peer-sites. During this time they also played in local venues around Gothenburg. The demo also spawned one radio single, Falling Behind. In 2008, the band received two awards, both for Best Newcomer, on “Swedish Pop Awards” and “Bandit Rock Awards”


Their first single “Losing You” was released 6 March, 2009 at their MySpace page. <a href=""https://www.last.fm/music/Dead+by+April"">Read more on Last.fm</a>","Sonic Syndicate, The Unguided, Annisokay, Demotional, My Dear Addiction"
Warbringer,3059797,105540,"There are three artists by this name.

1) Warbringer is an American thrash metal band from Ventura, California formed in 2004. Current members consist of John Kevill as vocals, John Laux and Andrew Bennett on guitar, Andy Laux on bass, and Carlos Cruz behind the drums.  They have released six full length studio albums, the latest being ""Weapons of Tomorrow"" in 2020.  Along with their animated live performances and  lyrics detailing war, violence, and death <a href=""https://www.last.fm/music/Warbringer"">Read more on Last.fm</a>","Havok, Evile, Lich King, Gama Bomb, Death Angel"
