artista,album,cancion,año,popularidad
"The Weeknd","After Hours","Blinding Lights",2020,87
"Conan Gray","Kid Krow",Heather,2020,84
"Glass Animals",Dreamland,"Heat Waves",2020,84
"The Weeknd","After Hours","Save Your Tears",2020,83
"Taylor Swift",folklore,cardigan,2020,82
"Taylor Swift",folklore,august,2020,82
"Kali Uchis","Sin Miedo (del Amor y Otros Demonios) ∞",telepatía,2020,81
"Dua Lipa","Future Nostalgia","Don't Start Now",2020,80
"Conan Gray","Kid Krow","The Cut That Always Bleeds",2020,80
"Miley Cyrus","Plastic Hearts","Angels Like You",2020,79
