cantidad_reproducciones,Artista,genero
161928059046,"Taylor Swift",pop
43399641260,BTS,pop
35391817912,Drake,pop
21719879636,Metallica,metal
19511906468,"Billie Eilish",pop
18301132764,"Linkin Park",metal
14665474957,"The Weeknd",pop
13116261060,"Red Hot Chili Peppers",metal
12731985792,"Arctic Monkeys",rock
12397888496,"Ariana Grande",pop
10215099045,"Lana Del Rey",pop
7662694473,Deftones,metal
7440688355,"Bring Me The Horizon",metal
6511578900,Rammstein,rock
6373819857,Queen,rock
6340479579,Gorillaz,rock
6259953264,"Twenty One Pilots",rock
6252371925,SZA,pop
5697975204,"Doja Cat",pop
5520510715,"Bring Me The Horizon",rock
5469726276,Rammstein,metal
5183424708,"Avenged Sevenfold",metal
5166612659,Korn,metal
4508308662,"Imagine Dragons",rock
4460332810,Muse,rock
4456491648,"Lady Gaga",pop
4359463600,"The Neighbourhood",rock
4191426400,Slipknot,metal
4164073975,"Guns N' Roses",metal
4029860094,Nightwish,metal
3939307204,"Tame Impala",rock
3900303968,Röyksopp,electronic
3787648449,"Foo Fighters",metal
3753017744,"Five Finger Death Punch",metal
3639576704,"The 1975",rock
3626523936,"Post Malone",pop
3617520882,Coldplay,pop
3596063904,"Olivia Rodrigo",pop
3573431070,Moby,electronic
3562385281,blink-182,metal
3235245219,"The Strokes",rock
3228263456,"Pearl Jam",metal
3164619276,"Massive Attack",electronic
3066897600,"Dua Lipa",pop
3008940298,"Bullet For My Valentine",metal
2970241260,Megadeth,metal
2920184982,"Harry Styles",pop
2884700889,Radiohead,rock
2881605650,Slipknot,rock
2775611504,"Rise Against",metal
