artista,cancion,album,año,spotify_id,popularidad
Arde Bogotá,Sin Vergüenza,Sin Vergüenza,2022,0mJ2qmDI2X4wrSIIBrvvpN,63
ELYELLA,Que nada nos pare (lo más importante),Que nada nos pare (lo más importante),2022,1FG7ZjnuT0O9CsDKOxND0E,61
Arde Bogotá,Antiaéreo,Antiaéreo,2020,15tDDogDQ8kOcs5b6G2bN5,61
Viva Suecia,El Bien,El Amor De La Clase Que Sea,2022,6IuZFiKCeyQINqL0Id3xF2,61
Leiva,Como Si Fueras a Morir Mañana,Nuclear,2019,4aAfLSx9IthpC3Pw5pNk3E,60
Arde Bogotá,Exoplaneta,LA NOCHE,2021,68PEuXNjodWFts3Ph4BPVv,60
Melendi,Destino o casualidad,Destino o casualidad,2018,2sMxswHr9wX7kTUHULvJBJ,71
Oques Grasses,La Gent Que Estimo,A Tope amb la Vida,2021,2aTvlIMGoo2L9x5YzJNjj5,59
David Bisbal,A Partir De Hoy,En Tus Planes,2020,3Z7JMhKrVBiMvMd0xV1vyI,66
Arde Bogotá,Virtud y Castigo,El Tiempo y la Actitud,2020,2srHBWxK0igCV4kr5M9CNb,57
MARLENA,Gitana,Gitana,2021,1voueLCs7g2cD8NLHg1Iz7,58
Viva Suecia,No Hemos Aprendido Nada,El Amor De La Clase Que Sea,2022,23EYaP0VXowC6oT9DiY3QR,57
Carolina Durante,Perdona (Ahora Sí Que Sí),Perdona (Ahora Sí Que Sí),2018,1AODZVWUeYlsKoFTo2iyEA,56
Arde Bogotá,Abajo,LA NOCHE,2021,45ucex4am8ru040h5mhxuo,56
David Bisbal,Si Tú La Quieres,En Tus Planes,2020,5agt9CgF8dTRXgNtn1zflm,61
Elton John,Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),2021,6zSpb8dQRaw0M1dK8PBwQz,79
Viva Suecia,Lo Que Te Mereces,El Milagro,2019,1m64wK0vr8OaviUWuIfncH,55
La Oreja de Van Gogh,Blanca Navidad,Blanca Navidad,2021,460i7EzVcjlmNM7fy2N8gk,62
Elton John,Cold Heart - PNAU Remix,The Lockdown Sessions,2021,6JIC3hbC28JZKZ8AlAqX8h,78
Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,Mercury - Acts 1 & 2,2022,3CIyK1V4JEJkg02E4EJnDl,80
Viva Suecia,Lo Siento,El Amor De La Clase Que Sea,2022,6RM3IZHeEwhvTXxfquDbZN,55
Imagine Dragons,Bones,Mercury - Acts 1 & 2,2022,54ipXppHLA8U4yqpOFTUhr,80
